item,calories,fat_g,carb_g,fiber_g,protein_g
Raspberry Whoopie Pie,360,18,45,1,3
Reduced-Fat Cinnamon Swirl Coffee Cake,370,9,67,2,5
Reduced-Fat Turkey Bacon & Cage Free Egg White Breakfast Sandwich,230,6,28,2,16
Roasted Carrot & Kale Side Salad,440,26,44,7,10
Roasted Tomato & Mozzarella Panini,420,18,47,3,11
Roasted Turkey & Dill Havarti Sandwich,600,32,47,6,32
S'mores Bar,330,17,44,1,2
S'mores Bar Multipack,330,17,44,1,2
Sausage Cheddar & Egg Breakfast Sandwich,500,28,41,1,15
Seared Steak & Cheddar Sandwich,530,29,44,2,23
Seared Steak Egg & Tomatillo Wrap,410,18,43,2,21
Seasonal Fruit Blend,90,0,24,4,1
Shaken Iced Tazo Tea (With Classic Syrup),60,0,0,0,0
Shaken Iced Tazo Tea (With Classic Syrup),80,0,0,0,0
Shaken Iced Tazo Tea (With Classic Syrup),120,0,0,0,0
Shaken Iced Tazo Tea Lemonade (With Classic Syrup),100,0,0,0,0.1
Shaken Iced Tazo Tea Lemonade (With Classic Syrup),130,0,0,0,0.1
Shaken Iced Tazo Tea Lemonade (With Classic Syrup),190,0,0,0,0.1
Skinny Latte (Any Flavour),60,0.1,80,0,6
Skinny Latte (Any Flavour),100,0.2,125,0,9
Skinny Latte (Any Flavour),120,0.3,160,0,12
Skinny Latte (Any Flavour),160,0.3,200,0,15
Slow-Roasted Ham & Beecher's Flagship Cheese Small Sandwich,350,18,31,1,16
Slow-Roasted Ham Swiss & Egg Breakfast Sandwich,450,23,42,1,24
Smoked Mozzarella & Roasted Pepper Sandwich,500,28,46,4,18
Smoked Turkey Protein Box,360,12,42,5,24
Sous Vide Egg Bites: Bacon & Gruyere,310,22,9,0,19
Sous Vide Egg Bites: Egg White & Red Pepper,170,7,13,1,13
Spicy Chorizo  Monterey Jack & Egg Breakfast Sandwich,500,30,35,3,26
Spinach Feta & Cage Free Egg White Breakfast Wrap,290,10,33,6,19
Sprouted Grain Vegan Bagel,330,6,57,7,12
Strawberries & Creme (Without Whipped Cream),170,0.1,140,0,3
