category,item,calories,fat_g,carb_g,fiber_g,protein_g,sugars_g,retailer
Frappuccino Blended Coffee,Java Chip (Without Whipped Cream),310,4,250,2,5,62,Starbucks
Frappuccino Blended Coffee,Java Chip (Without Whipped Cream),310,6,240,2,4,60,Starbucks
Frappuccino Blended Coffee,Java Chip (Without Whipped Cream),340,7,250,2,5,62,Starbucks
Frappuccino Blended Coffee,Java Chip (Without Whipped Cream),420,5,340,2,7,84,Starbucks
Frappuccino Blended Coffee,Java Chip (Without Whipped Cream),430,8,330,3,6,80,Starbucks
Frappuccino Blended Coffee,Java Chip (Without Whipped Cream),460,10,340,2,7,84,Starbucks
Frappuccino Blended Coffee,Mocha (Without Whipped Cream),180,0.5,150,1,3,40,Starbucks
Frappuccino Blended Coffee,Mocha (Without Whipped Cream),180,2,150,1,3,38,Starbucks
Frappuccino Blended Coffee,Mocha (Without Whipped Cream),200,3,160,1,3,40,Starbucks
Frappuccino Blended Coffee,Mocha (Without Whipped Cream),260,1,220,1,4,58,Starbucks
Frappuccino Blended Coffee,Mocha (Without Whipped Cream),260,2.5,220,1,4,55,Starbucks
Frappuccino Blended Coffee,Mocha (Without Whipped Cream),290,4,220,1,4,58,Starbucks
Frappuccino Blended Coffee,Mocha (Without Whipped Cream),340,1,300,1,7,76,Starbucks
Frappuccino Blended Coffee,Mocha (Without Whipped Cream),350,3,290,2,6,73,Starbucks
Frappuccino Blended Coffee,Mocha (Without Whipped Cream),390,6,300,1,6,76,Starbucks
Frappuccino Blended Creme,Strawberries & Creme (Without Whipped Cream),170,0.1,140,0,3,38,Starbucks
Frappuccino Blended Creme,Strawberries & Creme (Without Whipped Cream),170,1.5,135,1,3,35,Starbucks
Frappuccino Blended Creme,Strawberries & Creme (Without Whipped Cream),190,3,140,0,3,37,Starbucks
Frappuccino Blended Creme,Strawberries & Creme (Without Whipped Cream),230,0.2,190,0,4,52,Starbucks
Frappuccino Blended Creme,Strawberries & Creme (Without Whipped Cream),240,2,180,1,3,49,Starbucks
Frappuccino Blended Creme,Strawberries & Creme (Without Whipped Cream),260,4,190,0,4,52,Starbucks
Frappuccino Blended Creme,Strawberries & Creme (Without Whipped Cream),310,0.2,260,0,6,69,Starbucks
Frappuccino Blended Creme,Strawberries & Creme (Without Whipped Cream),320,3.2,250,1,5,64,Starbucks
Frappuccino Blended Creme,Strawberries & Creme (Without Whipped Cream),350,6,260,0,6,68,Starbucks
Frappuccino Blended Creme,Vanilla Bean (Without Whipped Cream),170,0.1,160,0,4,38,Starbucks
Frappuccino Blended Creme,Vanilla Bean (Without Whipped Cream),180,1.5,160,1,3,35,Starbucks
Frappuccino Blended Creme,Vanilla Bean (Without Whipped Cream),200,3.5,160,0,3,38,Starbucks
Frappuccino Blended Creme,Vanilla Bean (Without Whipped Cream),240,0.1,230,0,5,55,Starbucks
Frappuccino Light Blended Coffee,Caramel,100,0.1,140,0,3,23,Starbucks
Frappuccino Light Blended Coffee,Caramel,150,0.1,200,0,3,32,Starbucks
Frappuccino Light Blended Coffee,Caramel,200,0.1,270,0,5,43,Starbucks
Frappuccino Light Blended Coffee,Coffee,90,0.1,160,0,3,19,Starbucks
Frappuccino Light Blended Coffee,Coffee,120,0.1,210,0,3,26,Starbucks
Frappuccino Light Blended Coffee,Coffee,160,0.1,270,0,5,33,Starbucks
Frappuccino Light Blended Coffee,Java Chip,150,3,170,1,4,27,Starbucks
Frappuccino Light Blended Coffee,Java Chip,220,4,240,2,5,39,Starbucks
Frappuccino Light Blended Coffee,Java Chip,290,5,320,2,7,52,Starbucks
Frappuccino Light Blended Coffee,Mocha,110,0.5,150,1,3,23,Starbucks
Frappuccino Light Blended Coffee,Mocha,150,1,200,1,4,30,Starbucks
Frappuccino Light Blended Coffee,Mocha,210,1,280,1,6,42,Starbucks
Frozen Coffee,"Butter Pecan Swirl Frozen Coffee with Cream, Large",1160,40,191,0,11,181,Dunkin Donuts
