category,item,calories,fat_g,saturated_fat_g,trans_fat_g,cholesterol_mg,sodium_mg,carb_g,fiber_g,sugars_g,protein_g,weight_watcher_points,item_type,size,milk_type
Frozen Coffee,"Frozen Vanilla Chai/Vanilla Spice, Large",790,14,10,0,20,240,160,0,151,9,942,drink,large,not applicable
Frozen Coffee,"Frozen Vanilla Chai/Vanilla Spice, Medium",590,10,7,0,15,180,120,0,113,7,703,drink,medium,not applicable
Frozen Coffee,"Frozen Vanilla Chai/Vanilla Spice, Small",400,7,5,0,10,120,80,0,75,4,476,drink,small,not applicable
Frozen Coffee,Limited Time Productsâ Frozen Coffee,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,drink,not applicable,not applicable
Frozen Coffee,"Butter Pecan Swirl Frozen Coffee with Cream, Large",1160,40,22,1.5,125,480,191,0,181,11,1352,drink,large,cream
Frozen Coffee,"Butter Pecan Swirl Frozen Coffee with Cream, Medium",890,31,17,1,100,370,147,0,139,8,1038,drink,medium,cream
Frozen Coffee,"Butter Pecan Swirl Frozen Coffee with Cream, Small",630,22,12,0.5,70,250,103,0,97,6,733,drink,small,cream
Frozen Coffee,"Butter Pecan Swirl Frozen Coffee with Skim Milk, Large",880,5,3.5,0,25,430,195,0,185,12,1056.5,drink,large,skim
Frozen Coffee,"Butter Pecan Swirl Frozen Coffee with Skim Milk, Medium",680,5,3,0,20,330,150,0,142,9,816,drink,medium,skim
Frozen Coffee,"Butter Pecan Swirl Frozen Coffee with Skim Milk, Small",490,4.5,3,0,20,220,105,0,99,6,586,drink,small,skim
Frozen Coffee,"Butter Pecan Swirl Frozen Coffee with Whole Milk, Large",930,11,7,0,40,430,195,0,185,11,1111,drink,large,whole
Frozen Coffee,"Butter Pecan Swirl Frozen Coffee with Whole Milk, Medium",720,9,6,0,30,330,150,0,142,9,859,drink,medium,whole
Frozen Coffee,"Butter Pecan Swirl Frozen Coffee with Whole Milk, Small",510,8,4.5,0,25,220,105,0,98,6,606.5,drink,small,whole
Frozen Coffee,"Limited Time Products, Frozen Specialty",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,drink,not applicable,not applicable
Frozen Coffee,"Frozen Matcha Latte with Skim Milk, Large",480,0,0,0,NA,95,111,2,109,8,581,drink,large,skim
Frozen Coffee,"Frozen Matcha Latte with Skim Milk, Medium",360,0,0,0,NA,70,83,1,82,6,436,drink,medium,skim
