category,item,calories,fat_g,saturated_fat_g,trans_fat_g,cholesterol_mg,sodium_mg,carb_g,fiber_g,sugars_g,protein_g,weight_watcher_points,item_type,size
Kolache,Kosher Dunkin Double Veggie Sausage Sandwich,600,18,6,0,180,1460,74,6,8,37,577,food,not applicable
Kolache,Kosher Egg and Cheese on an English Muffin,340,14,5,0,180,600,38,1,3,14,334,food,not applicable
Kolache,Kosher Egg and Cheese Wake Up Wrap,170,10,4,0,95,410,14,0,1,7,168,food,not applicable
Kolache,Kosher Grilled Cheese (Regional),420,23,12,0,55,840,36,0,3,17,418,food,not applicable
Kolache,Kosher Grilled Cheese with Veggie Bacon (Regional),480,27,12,0,55,1060,38,0,3,19,476,food,not applicable
Kolache,Kosher Power Breakfast Sandwich,360,16,6,0,25,800,30,6,5,26,345,food,not applicable
Kolache,Kosher Tuna Melt on a Croissant,630,42,15,0,65,820,38,1,5,24,626,food,not applicable
Kolache,Kosher Tuna Salad on a Plain Bagel,510,17,3,0,45,1060,64,4,7,24,496,food,not applicable
Kolache,Kosher Veggie Bacon Egg and Cheese on a Plain Bagel,510,17,5,0,180,1170,68,4,7,21,501,food,not applicable
Kolache,Kosher Veggie Bacon Wake-Up Wrap,200,12,4.5,0,95,520,15,0,1,8,197.5,food,not applicable
Kolache,Kosher Veggie Sausage Egg and Cheese on a Croissant,570,33,13,0,180,840,44,2,6,23,566,food,not applicable
Kolache,Kosher Veggie Sausage Wake-Up Wrap,210,11,4,0,95,540,16,1,1,11,204,food,not applicable
Muffins,Blueberry Muffin,460,15,3,0,60,390,77,1,44,6,501,food,not applicable
Muffins,Chocolate Chip Muffin,550,21,6,0,65,400,85,2,49,7,598,food,not applicable
Muffins,Coffee Cake Muffin,590,24,8,0,65,370,88,2,51,7,642,food,not applicable
Muffins,Corn Muffin,460,16,3,0,70,670,73,1,30,7,486,food,not applicable
Muffins,Butternut Munchkins,90,4,2,0,NA,70,12,0,7,1,98,food,not applicable
Muffins,Cinnamon Munchkins,60,3.5,1.5,0,NA,70,6,0,2,1,62.5,food,not applicable
Muffins,Glazed Blueberry Munchkins,70,3.5,2,0,NA,65,8,0,4,1,75,food,not applicable
Muffins,Glazed Chocolate Munchkins,60,3.5,1.5,0,0,80,8,0,4,1,64.5,food,not applicable
Muffins,Glazed Munchkins,60,3,1.5,0,0,60,7,0,3,1,63.5,food,not applicable
Muffins,Glazed Old Fashioned Munchkins,70,3.5,1.5,0,NA,70,8,0,4,1,74.5,food,not applicable
Muffins,Jelly Munchkins,60,3,1.5,0,0,65,8,0,3,1,63.5,food,not applicable
Muffins,Old Fashioned Munchkins,60,3.5,1.5,0,NA,70,6,0,2,1,62.5,food,not applicable
Muffins,Powdered Munchkins,60,3.5,1.5,0,NA,70,6,0,2,1,62.5,food,not applicable
Muffins,Multigrain Brown Sugar Oatmeal with Dried Fruit Topping,300,2.5,0,0,0,250,65,6,36,6,330,food,not applicable
Muffins,Biscuit (Regional),270,14,9,0,10,640,32,1,2,5,276,food,not applicable
Muffins,English Muffin,190,2,0,0,0,270,35,1,3,6,187,food,not applicable
Muffins,Multigrain Thin,150,4,0.5,0,0,220,24,4,3,6,147.5,food,not applicable
Muffins,Plain Croissant,340,19,8,0,0,250,37,1,5,6,347,food,not applicable
Sandwiches,"Bacon, Egg and Cheese on a Plain Bagel",520,18,6,0,190,1200,67,4,8,23,511,food,not applicable
Sandwiches,"Bacon, Egg and Cheese on Croissant",560,36,14,0,190,820,41,1,6,18,562,food,not applicable
Sandwiches,"Bacon, Egg and Cheese on English Muffin",400,19,7,0,190,840,39,1,4,18,393,food,not applicable
Sandwiches,"Bacon, Egg and Cheese Wake-Up Wrap",220,13,5,0,105,590,15,0,1,10,216,food,not applicable
Sandwiches,Beyond Sausage Sandwich,510,26,10,0,185,820,40,2,3,26,497,food,not applicable
Sandwiches,Beyond Sausage Wake Up Wrap,280,18,7,0,100,500,15,1,1,14,274,food,not applicable
Sandwiches,Big n Toasted (Regional),600,36,11,0,360,1190,41,0,4,27,588,food,not applicable
Sandwiches,"Biscuit, Bacon, Egg and Cheese (Regional)",490,31,15,0,195,1210,35,1,3,17,491,food,not applicable
Sandwiches,Chicken Biscuit (Regional),460,22,11,0,45,1080,46,1,3,21,453,food,not applicable
Sandwiches,Chicken Croissant Sandwich (Regional),650,36,14,0,65,1240,55,2,9,28,645,food,not applicable
Sandwiches,Double Sausage Breakfast Sandwich,900,54,19,0,265,1980,70,5,8,33,894,food,not applicable
Sandwiches,Egg and Cheese on a Plain Bagel,460,13,5,0,175,1010,66,4,8,19,454,food,not applicable
Sandwiches,Egg and Cheese on Croissant,500,31,13,0,175,640,40,1,6,15,504,food,not applicable
Sandwiches,Egg and Cheese on English Muffin,340,15,5,0,175,650,38,1,4,14,335,food,not applicable
Sandwiches,Egg and Cheese Wake-Up Wrap,180,10,4,0,95,470,14,0,1,7,178,food,not applicable
Sandwiches,Grilled Cheese (Regional),430,24,11,0,50,960,37,0,3,17,427,food,not applicable
Sandwiches,Grilled Cheese with Bacon (Regional),490,29,13,0,60,1140,38,0,4,21,486,food,not applicable
Sandwiches,Grilled Cheese with Ham (Regional),460,25,12,0,60,1220,38,0,4,22,454,food,not applicable
Sandwiches,"Ham, Egg and Cheese on a Plain Bagel",490,14,5,0,190,1270,67,4,8,24,479,food,not applicable
